v000001	adjaffi	adj.adjective_affiliative.adjaffi	1.46	2.51
v000003	adjattr	adj.adjective_attributive.adjattr	37.66	18.66
v000005	adjeval	adj.adjective_evaluative.adjeval	5.57	4.27
v000008	adjpred	adj.adjective_predicative.adjpred	8.82	5.27
v000010	adjrela	adj.adjective_relational.adjrela	10.98	6.23
v000014	adjtopi	adj.adjective_topical.adjtopi	6.31	6.19
v000023	advampl	adv.adverb_amplifier.advampl	7.04	5.05
v000027	advemph	adv.adverb_emphatic.advemph	5.06	3.95
v000030	advhedg	adv.adverb_hedge.advhedg	0.88	1.3
v000031	advints	adv.adverb_intensity.advints	6.59	4.91
v000032	advlikl	adv.adverb_likelihood.advlikl	1.51	1.67
v000034	advmanner	adv.adverb_mode.advmanner	2.06	2.64
v000035	advnao	adv.adverb_nao.advnao	7.97	6.73
v000036	advneg	adv.adverb_negative_except_nao.advneg	0.42	0.84
v000038	advpl	adv.adverb_place.advpl	4.08	5.01
v000040	advtime	adv.adverb_time.advtime	5.58	4.49
v000041	advcomp	adv.comparative.advcomp	9.38	5.15
v000042	discmrkr	adv.discourse_markers_conjunctional_adverbs.discmrkr	5.41	5.97
v000043	artdef	art.article_def.artdef	113.62	28.08
v000044	artindef	art.article_indef.artindef	14.02	7.84
v000047	cjadv	cj.conjunction_coordinating_adversative.cjadv	2.34	2.32
v000048	cjcoorcls	cj.conjunction_coordinating_clausal.cjcoorcls	11.37	6.04
v000049	cjcncl	cj.conjunction_coordinating_conclusive.cjcncl	1.64	2.05
v000050	cjou	cj.conjunction_coordinating_ou.cjou	3.39	4.22
v000051	cjcoorphr	cj.conjunction_coordinating_phrasal.cjcoorphr	6.3	5.36
v000055	cjcond	cj.conjunction_subordinating_conditional.cjcond	1.63	1.98
v000057	cjfinal	cj.conjunction_subordinating_final.cjfinal	0.01	0.08
v000061	clpassless	cl.agentless_passive.clpassless	1.95	2.38
v000062	clinfadj	cl.infinitive_clause_controlled_adjective.clinfadj	0.58	1.06
v000065	clinfadjease	cl.infinitive_clause_controlled_adjective_ease_difficulty.clinfadjease	0.23	0.62
v000068	clinfprp	cl.infinitive_clause_controlled_preposition.clinfprp	9.1	4.66
v000072	adjque	cl.que_adjective_complement_clause.adjque	1.24	1.28
v000077	clqueeadv	cl.que_clause_controlled_adverb.clqueeadv	0.53	1.25
v000078	clqueeprp	cl.que_clause_controlled_preposition.clqueeprp	1.05	1.28
v000080	nounque	cl.que_noun_complement_clause.nounque	5.85	3.63
v000081	vbqueindic	cl.que_verb_complement_clause_indicative.vbqueindic	3.76	3.87
v000087	mddever	md.modal_dever.mddever	1.21	1.94
v000088	mdhaver	md.modal_haver.mdhaver	0.05	0.23
v000091	mdpoder	md.modal_poder.mdpoder	3.07	2.89
v000092	mdprecisar	md.modal_precisar.mdprecisar	0.34	0.79
v000093	mdter	md.modal_ter.mdter	0.66	1.08
v000095	nominlzsubj	n.nominalization_in_subject_position.nominlzsubj	6.95	5.16
v000096	nabst	n.noun_abstract.nabst	52.1	27.21
v000099	ncogn	n.noun_cognition.ncogn	6.85	5.76
v000100	ncomp	n.noun_compound.ncomp	16.08	10.46
v000101	nconc	n.noun_concrete.nconc	20.95	12.25
v000103	nplac	n.noun_place.nplac	7.97	6.82
v000115	nqueinfcl	n.stance_noun_que_or_inf_clause.nqueinfcl	0.73	1.02
v000116	prnnomsubj	prn.nominal_pronoun_subject_position.prnnomsubj	0.64	1.06
v000117	prnposs	prn.possessive_pron.prnposs	10.66	8.98
v000118	prndem	prn.pronoun_demonstrative.prndem	11.51	6.94
v000120	prn1sngsubj	prn.pronoun_first_person_singular_subject_position.prn1sngsubj	3.09	5.94
v000121	prn1obl	prn.pronoun_firstperson_oblique.prn1obl	2.11	5.29
v000123	prn2sngsubj	prn.pronoun_second_person_singular_subject_position.prn2sngsubj	2.32	4
v000124	prn2obl	prn.pronoun_secondperson_oblique.prn2obl	5.06	8.81
v000125	prn3plusubj	prn.pronoun_third_person_plural_subject_position.prn3plusubj	0.56	1.1
v000126	prn3sngsubj	prn.pronoun_third_person_singular_subject_position.prn3sngsubj	2.69	4.41
v000127	prn3obl	prn.pronoun_thirdperson_oblique.prn3obl	7.37	5.37
v000128	prnqtf	prn.quantifiers.prnqtf	18.84	9.98
v000129	objprnrare	prn.rare_object_pronouns.objprnrare	0.88	1.66
v000131	prnqualcujo	prn.relative_pronoun_qual_cujo.prnqualcujo	0.6	1.03
v000132	prnque	prn.relative_pronoun_que.prnque	10.21	5.5
v000133	prpall	prp.preposition_all.prpall	147.23	33.79
v000134	qsqu	qs.QU_question.qsqu	1.36	2.49
v000135	qsyn	qs.YN_question.qsyn	3.7	7.63
