v000136	qsttag	qs.question_tags.qsttag	0.98	4.17
v000137	contrac	vb.contractions.contrac	1.33	4.3
v000139	vbfutpres	vb.future.vbfutpres	3.92	6.18
v000140	vbfutir	vb.future_ir.vbfutir	2.73	3.96
v000141	vbfutpret	vb.future_preterite.vbfutpret	1.81	2.61
v000142	vbgerall	vb.gerund.vbgerall	8.27	5.45
v000143	vbimp	vb.imperative.vbimp	3.48	6.98
v000144	vbimpf	vb.imperfect.vbimpf	8.32	11.82
v000146	vbinf	vb.infinitive.vbinf	2.55	2.3
v000147	vbpast	vb.past.vbpast	19.56	17.32
v000148	vbpastprt	vb.pastparticiple.vbpastprt	18.63	10.68
v000153	vbproginf	vb.progressive_infinitive.vbproginf	0.16	0.84
v000154	vbprogphr	vb.progressive_phrase.vbprogphr	3.26	2.73
v000167	subjdrop	vb.subject_drop.subjdrop	13.57	11.07
v000168	vbsubfut	vb.subjunctive_future.vbsubfut	2.05	3
v000169	vbsubpast	vb.subjunctive_past.vbsubpast	1.02	1.67
v000170	vbsubpres	vb.subjunctive_present.vbsubpres	6.31	7.53
v000171	vbact	vb.verb_action.vbact	36.99	14.52
v000174	vbcomm	vb.verb_communication.vbcomm	8.13	6.41
v000176	vbfacil	vb.verb_facilitation.vbfacil	3.81	2.98
v000177	vb1	vb.verb_firstperson.vb1	16.22	18.77
v000178	vbment	vb.verb_mental.vbment	16.87	11.15
v000181	vbpriv	vb.verb_private.vbpriv	12.41	8.11
v000182	vbpubl	vb.verb_public.vbpubl	9.76	6.46
v000183	vb2	vb.verb_secondperson.vb2	1.36	3.91
v000188	ttr	vd.type-token_ratio.ttr	0.53	0.07
v000190	wl	vd.word_length.wl	4.78	0.43
