v000001	adjaffi	adj.adjective_affiliative.adjaffi	1.46	2.51
v000002	adjall	adj.adjective_all.adjall	mean	sd
v000003	adjattr	adj.adjective_attributive.adjattr	37.66	18.66
v000004	adjcolr	adj.adjective_color.adjcolr	mean	sd
v000005	adjeval	adj.adjective_evaluative.adjeval	5.57	4.27
v000006	adjexceval	adj.adjective_except_evaluative.adjexceval	mean	sd
v000007	adjpost	adj.adjective_postmodifying_attributive.adjpost	mean	sd
v000008	adjpred	adj.adjective_predicative.adjpred	8.82	5.27
v000009	adjpre	adj.adjective_premodifying_attributive.adjpre	mean	sd
v000010	adjrela	adj.adjective_relational.adjrela	10.98	6.23
v000011	adjsize	adj.adjective_size.adjsize	mean	sd
v000012	adjsup	adj.adjective_superlative.adjsup	mean	sd
v000013	adjtime	adj.adjective_time.adjtime	mean	sd
v000014	adjtopi	adj.adjective_topical.adjtopi	6.31	6.19
v000015	adjattiinf	adj.stance_adjective_inf_clause_attitude.adjattiinf	mean	sd
v000016	adjfactinf	adj.stance_adjective_inf_clause_factive.adjfactinf	mean	sd
v000017	adjliklinf	adj.stance_adjective_inf_clause_likelihood.adjliklinf	mean	sd
v000018	adjattique	adj.stance_adjective_que_clause_attitude.adjattique	mean	sd
v000019	adjfactque	adj.stance_adjective_que_clause_factive.adjfactque	mean	sd
v000020	adjliklque	adj.stance_adjective_que_clause_likelihood.adjliklque	mean	sd
v000021	adjqueinfcl	adj.stance_adjective_que_or_inf_clause.adjqueinfcl	mean	sd
v000022	advall	adv.adverb_all.advall	mean	sd
v000023	advampl	adv.adverb_amplifier.advampl	7.04	5.05
v000024	advatt	adv.adverb_attitudinal.advatt	mean	sd
v000025	advcmpd	adv.adverb_compound.advcmpd	mean	sd
v000026	advdown	adv.adverb_downtoner.advdown	mean	sd
v000027	advemph	adv.adverb_emphatic.advemph	5.06	3.95
v000028	advother	adv.adverb_except_time_manner_place.advother	mean	sd
v000029	advfact	adv.adverb_factive.advfact	mean	sd
v000030	advhedg	adv.adverb_hedge.advhedg	0.88	1.3
v000031	advints	adv.adverb_intensity.advints	6.59	4.91
v000032	advlikl	adv.adverb_likelihood.advlikl	1.51	1.67
v000033	advlong	adv.adverb_long.advlong	mean	sd
v000034	advmanner	adv.adverb_mode.advmanner	2.06	2.64
v000035	advnao	adv.adverb_nao.advnao	7.97	6.73
v000036	advneg	adv.adverb_negative_except_nao.advneg	0.42	0.84
v000037	advnonf	adv.adverb_nonfactual.advnonf	mean	sd
v000038	advpl	adv.adverb_place.advpl	4.08	5.01
v000039	advsplit	adv.adverb_split_auxiliary.advsplit	mean	sd
v000040	advtime	adv.adverb_time.advtime	5.58	4.49
v000041	advcomp	adv.comparative.advcomp	9.38	5.15
v000042	discmrkr	adv.discourse_markers_conjunctional_adverbs.discmrkr	5.41	5.97
v000043	artdef	art.article_def.artdef	113.62	28.08
v000044	artindef	art.article_indef.artindef	14.02	7.84
v000045	cjcoor	cj.conjunction_coordinating.cjcoor	mean	sd
v000046	cjadd	cj.conjunction_coordinating_additive.cjadd	mean	sd
v000047	cjadv	cj.conjunction_coordinating_adversative.cjadv	2.34	2.32
v000048	cjcoorcls	cj.conjunction_coordinating_clausal.cjcoorcls	11.37	6.04
v000049	cjcncl	cj.conjunction_coordinating_conclusive.cjcncl	1.64	2.05
v000050	cjou	cj.conjunction_coordinating_ou.cjou	3.39	4.22
v000051	cjcoorphr	cj.conjunction_coordinating_phrasal.cjcoorphr	6.3	5.36
v000052	cjsub	cj.conjunction_subordinating.cjsub	mean	sd
v000053	cjcaus	cj.conjunction_subordinating_causal.cjcaus	mean	sd
v000054	cjcncsv	cj.conjunction_subordinating_concessive.cjcncsv	mean	sd
