v000001 adjaffi adj.adjective_affiliative.adjaffi
v000002 adjall adj.adjective_all.adjall
v000003 adjattr adj.adjective_attributive.adjattr
v000004 adjcolr adj.adjective_color.adjcolr
v000005 adjeval adj.adjective_evaluative.adjeval
v000006 adjexceval adj.adjective_except_evaluative.adjexceval
v000007 adjpost adj.adjective_postmodifying_attributive.adjpost
v000008 adjpred adj.adjective_predicative.adjpred
v000009 adjpre adj.adjective_premodifying_attributive.adjpre
v000010 adjrela adj.adjective_relational.adjrela
v000011 adjsize adj.adjective_size.adjsize
v000012 adjsup adj.adjective_superlative.adjsup
v000013 adjtime adj.adjective_time.adjtime
v000014 adjtopi adj.adjective_topical.adjtopi
v000015 adjattiinf adj.stance_adjective_inf_clause_attitude.adjattiinf
v000016 adjfactinf adj.stance_adjective_inf_clause_factive.adjfactinf
v000017 adjliklinf adj.stance_adjective_inf_clause_likelihood.adjliklinf
v000018 adjattique adj.stance_adjective_que_clause_attitude.adjattique
v000019 adjfactque adj.stance_adjective_que_clause_factive.adjfactque
v000020 adjliklque adj.stance_adjective_que_clause_likelihood.adjliklque
v000021 adjqueinfcl adj.stance_adjective_que_or_inf_clause.adjqueinfcl
v000022 advall adv.adverb_all.advall
v000023 advampl adv.adverb_amplifier.advampl
v000024 advatt adv.adverb_attitudinal.advatt
v000025 advcmpd adv.adverb_compound.advcmpd
v000026 advdown adv.adverb_downtoner.advdown
v000027 advemph adv.adverb_emphatic.advemph
v000028 advother adv.adverb_except_time_manner_place.advother
v000029 advfact adv.adverb_factive.advfact
v000030 advhedg adv.adverb_hedge.advhedg
v000031 advints adv.adverb_intensity.advints
v000032 advlikl adv.adverb_likelihood.advlikl
v000033 advlong adv.adverb_long.advlong
v000034 advmanner adv.adverb_mode.advmanner
v000035 advnao adv.adverb_nao.advnao
v000036 advneg adv.adverb_negative_except_nao.advneg
v000037 advnonf adv.adverb_nonfactual.advnonf
v000038 advpl adv.adverb_place.advpl
v000039 advsplit adv.adverb_split_auxiliary.advsplit
v000040 advtime adv.adverb_time.advtime
v000041 advcomp adv.comparative.advcomp
v000042 discmrkr adv.discourse_markers_conjunctional_adverbs.discmrkr
v000043 artdef art.article_def.artdef
v000044 artindef art.article_indef.artindef
v000045 cjcoor cj.conjunction_coordinating.cjcoor
v000046 cjadd cj.conjunction_coordinating_additive.cjadd
v000047 cjadv cj.conjunction_coordinating_adversative.cjadv
v000048 cjcoorcls cj.conjunction_coordinating_clausal.cjcoorcls
v000049 cjcncl cj.conjunction_coordinating_conclusive.cjcncl
v000050 cjou cj.conjunction_coordinating_ou.cjou
v000051 cjcoorphr cj.conjunction_coordinating_phrasal.cjcoorphr
v000052 cjsub cj.conjunction_subordinating.cjsub
v000053 cjcaus cj.conjunction_subordinating_causal.cjcaus
v000054 cjcncsv cj.conjunction_subordinating_concessive.cjcncsv
v000055 cjcond cj.conjunction_subordinating_conditional.cjcond
v000056 cjcnfm cj.conjunction_subordinating_conformative.cjcnfm
v000057 cjfinal cj.conjunction_subordinating_final.cjfinal
v000058 cjprop cj.conjunction_subordinating_proportional.cjprop
v000059 cjtemp cj.conjunction_subordinating_temporal.cjtemp
v000060 vbCU cl.CU_complement_clause.vbCU
v000061 clpassless cl.agentless_passive.clpassless
v000062 clinfadj cl.infinitive_clause_controlled_adjective.clinfadj
v000063 clinfadjaff cl.infinitive_clause_controlled_adjective_affective.clinfadjaff
v000064 clinfadjcert cl.infinitive_clause_controlled_adjective_certainty.clinfadjcert
v000065 clinfadjease cl.infinitive_clause_controlled_adjective_ease_difficulty.clinfadjease
v000066 clinfadjeval cl.infinitive_clause_controlled_adjective_evaluation.clinfadjeval
v000067 clinfadjwill cl.infinitive_clause_controlled_adjective_willingness.clinfadjwill
v000068 clinfprp cl.infinitive_clause_controlled_preposition.clinfprp
v000069 clnsbjc cl.noun_subject_position.clnsbjc
v000070 clpostnom cl.passive_postnominal_modifier.clpostnom
v000071 clpasspor cl.passive_with_por.clpasspor
v000072 adjque cl.que_adjective_complement_clause.adjque
v000073 clqueeadj cl.que_clause_controlled_adjective.clqueeadj
v000074 clqueadjcert cl.que_clause_controlled_adjective_certainty.clqueadjcert
v000075 clqueadjease cl.que_clause_controlled_adjective_ease_difficulty.clqueadjease
v000076 clqueadjeval cl.que_clause_controlled_adjective_evaluation.clqueadjeval
v000077 clqueeadv cl.que_clause_controlled_adverb.clqueeadv
v000078 clqueeprp cl.que_clause_controlled_preposition.clqueeprp
v000079 clqueevb cl.que_clause_controlled_verb.clqueevb
v000080 nounque cl.que_noun_complement_clause.nounque
v000081 vbqueindic cl.que_verb_complement_clause_indicative.vbqueindic
v000082 vbquesubjc cl.que_verb_complement_clause_subjunctive.vbquesubjc
v000083 clsepass cl.se_passive.clsepass
v000084 cjsubother cl.subordinate_clause_except_causal_concessive_conditional.cjsubother
v000085 mdall md.modal_all.mdall
v000086 mdconseguir md.modal_conseguir.mdconseguir
v000087 mddever md.modal_dever.mddever
v000088 mdhaver md.modal_haver.mdhaver
v000089 mdoblig md.modal_obligation.mdoblig
v000090 mdparecer md.modal_parecer.mdparecer
v000091 mdpoder md.modal_poder.mdpoder
v000092 mdprecisar md.modal_precisar.mdprecisar
v000093 mdter md.modal_ter.mdter
v000094 nominlz n.nominalization.nominlz
v000095 nominlzsubj n.nominalization_in_subject_position.nominlzsubj
v000096 nabst n.noun_abstract.nabst
v000097 nall n.noun_all.nall
v000098 nanim n.noun_animate.nanim
v000099 ncogn n.noun_cognition.ncogn
v000100 ncomp n.noun_compound.ncomp
v000101 nconc n.noun_concrete.nconc
v000102 ngrpi n.noun_group_institution.ngrpi
v000103 nplac n.noun_place.nplac
v000104 nqtty n.noun_quantity.nqtty
v000105 ntech n.noun_technical.ntech
v000106 nprop n.proper_noun.nprop
v000107 nattitinf n.stance_noun_inf_clause_attitude.nattitinf
v000108 nfactlinf n.stance_noun_inf_clause_factual.nfactlinf
v000109 nliklhinf n.stance_noun_inf_clause_likelihood.nliklhinf
v000110 nnonfcinf n.stance_noun_inf_clause_non-factual.nnonfcinf
v000111 nattitque n.stance_noun_que_clause_attitude.nattitque
v000112 nfactlque n.stance_noun_que_clause_factual.nfactlque
v000113 nliklhque n.stance_noun_que_clause_likelihood.nliklhque
v000114 nnonfcque n.stance_noun_que_clause_non-factual.nnonfcque
v000115 nqueinfcl n.stance_noun_que_or_inf_clause.nqueinfcl
v000116 prnnomsubj prn.nominal_pronoun_subject_position.prnnomsubj
v000117 prnposs prn.possessive_pron.prnposs
v000118 prndem prn.pronoun_demonstrative.prndem
v000119 prn1plusubj prn.pronoun_first_person_plural_subject_position.prn1plusubj
v000120 prn1sngsubj prn.pronoun_first_person_singular_subject_position.prn1sngsubj
v000121 prn1obl prn.pronoun_firstperson_oblique.prn1obl
v000122 prn2plusubj prn.pronoun_second_person_plural_subject_position.prn2plusubj
v000123 prn2sngsubj prn.pronoun_second_person_singular_subject_position.prn2sngsubj
v000124 prn2obl prn.pronoun_secondperson_oblique.prn2obl
v000125 prn3plusubj prn.pronoun_third_person_plural_subject_position.prn3plusubj
v000126 prn3sngsubj prn.pronoun_third_person_singular_subject_position.prn3sngsubj
v000127 prn3obl prn.pronoun_thirdperson_oblique.prn3obl
v000128 prnqtf prn.quantifiers.prnqtf
v000129 objprnrare prn.rare_object_pronouns.objprnrare
v000130 prnrelprep prn.relative_pronoun_preceded_by_preposition.prnrelprep
v000131 prnqualcujo prn.relative_pronoun_qual_cujo.prnqualcujo
v000132 prnque prn.relative_pronoun_que.prnque
v000133 prpall prp.preposition_all.prpall
v000134 qsqu qs.QU_question.qsqu
v000135 qsyn qs.YN_question.qsyn
v000136 qsttag qs.question_tags.qsttag
v000137 contrac vb.contractions.contrac
v000138 focusmkr vb.focus_marker.focusmkr
v000139 vbfutpres vb.future.vbfutpres
v000140 vbfutir vb.future_ir.vbfutir
v000141 vbfutpret vb.future_preterite.vbfutpret
v000142 vbgerall vb.gerund.vbgerall
v000143 vbimp vb.imperative.vbimp
