file	v000182	v000184	v000181	v000175	v000185	v000172	v000186	v000174	v000171	v000151	v000176	v000173	v000177	v000178	v000148	v000147	v000170	v000142	v000149	v000154	v000145	v000128	v000123	v000118	v000133	v000132	v000095	v000124	v000106	v000099	v000105	v000117	v000116	v000098	v000094	v000100	v000050	v000101	v000096	v000031	v000084	v000097	v000023	v000070	v000068	v000059	v000080	v000069	v000051	v000072	v000007	v000061	v000046	v000010	v000041	v000052	v000043	v000048	v000033	v000045	v000002	v000009	v000025	v000028	v000040	v000022	v000012	v000013	v000014	v000003	v000006	v000188	v000189	v000190	v000004	v000015	v000016	v000017	v000018	v000019	v000020	v000021	v000024	v000026	v000036	v000039	v000042	v000049	v000054	v000055	v000056	v000057	v000058	v000062	v000063	v000064	v000065	v000066	v000067	v000071	v000073	v000074	v000075	v000076	v000077	v000082	v000083	v000087	v000088	v000089	v000090	v000092	v000093	v000107	v000108	v000109	v000110	v000111	v000112	v000113	v000120	v000121	v000122	v000129	v000130	v000131	v000135	v000136	v000137	v000138	v000141	v000143	v000150	v000152	v000153	v000157	v000158	v000159	v000160	v000161	v000162	v000163	v000164	v000165	v000167	v000169	v000183	v000187	v000155	v000156	v000166	v000127	v000139	v000140	v000119	v000134	v000168	v000125	v000144	v000079	v000091	v000081	v000102	v000047	v000104	v000060	v000011	v000044	v000032	v000085	v000037	v000030	v000035	v000008	v000029	v000005	v000053	v000001	v000179	v000180	v000126	v000115	v000146	v000114	v000027	v000038	v000103	v000086	v000034	v000078
t000001	15.873015873	10.582010582	26.455026455	21.164021164	84.656084656	15.873015873	169.31216931	15.873015873	37.037037037	42.328042328	15.873015873	5.291005291	5.291005291	42.328042328	31.746031746	42.328042328	5.291005291	5.291005291	74.074074074	10.582010582	84.656084656	15.873015873	5.291005291	31.746031746	137.56613757	10.582010582	15.873015873	10.582010582	58.201058201	21.164021164	5.291005291	10.582010582	10.582010582	10.582010582	47.619047619	31.746031746	5.291005291	10.582010582	89.947089947	5.291005291	5.291005291	153.43915344	5.291005291	10.582010582	42.328042328	5.291005291	10.582010582	31.746031746	31.746031746	10.582010582	37.037037037	47.619047619	31.746031746	15.873015873	5.291005291	5.291005291	148.14814815	21.164021164	5.291005291	37.037037037	58.201058201	5.291005291	10.582010582	5.291005291	5.291005291	52.91005291	5.291005291	10.582010582	15.873015873	84.656084656	42.328042328	2.4444444444	189	34.121693122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t000002	8.2191780822	0	30.136986301	57.534246575	115.06849315	8.2191780822	180.82191781	5.4794520548	43.835616438	65.753424658	8.2191780822	5.4794520548	0	21.917808219	19.178082192	27.397260274	5.4794520548	2.7397260274	46.575342466	0	101.36986301	24.657534247	2.7397260274	30.136986301	131.50684932	16.438356164	8.2191780822	5.4794520548	32.876712329	5.4794520548	13.698630137	2.7397260274	5.4794520548	8.2191780822	60.273972603	73.97260274	0	8.2191780822	120.54794521	8.2191780822	0	180.82191781	10.95890411	5.4794520548	27.397260274	0	21.917808219	60.273972603	16.438356164	0	43.835616438	8.2191780822	30.136986301	8.2191780822	5.4794520548	5.4794520548	71.232876712	10.95890411	8.2191780822	30.136986301	73.97260274	5.4794520548	13.698630137	27.397260274	2.7397260274	63.01369863	0	2.7397260274	24.657534247	98.630136986	43.835616438	1.2109589041	365	18.342465753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.178082192	8.2191780822	8.2191780822	2.7397260274	2.7397260274	10.95890411	5.4794520548	2.7397260274	8.2191780822	5.4794520548	5.4794520548	5.4794520548	16.438356164	5.4794520548	10.95890411	5.4794520548	5.4794520548	21.917808219	5.4794520548	19.178082192	5.4794520548	16.438356164	5.4794520548	5.4794520548	8.2191780822	5.4794520548	8.2191780822	5.4794520548	2.7397260274	2.7397260274	0	0	0	0	0	0	0	0	0	0	0	0
t000003	12.658227848	0	21.097046414	54.852320675	97.046413502	0	189.87341772	4.2194092827	50.632911392	37.974683544	4.2194092827	12.658227848	8.4388185654	33.755274262	37.974683544	46.41350211	8.4388185654	0	84.388185654	0	92.827004219	12.658227848	4.2194092827	33.755274262	168.77637131	25.316455696	4.2194092827	8.4388185654	25.316455696	0	8.4388185654	0	0	8.4388185654	46.41350211	88.607594937	12.658227848	4.2194092827	80.168776371	8.4388185654	0	164.55696203	12.658227848	8.4388185654	42.194092827	0	8.4388185654	50.632911392	0	8.4388185654	37.974683544	37.974683544	21.097046414	21.097046414	12.658227848	12.658227848	88.607594937	16.877637131	8.4388185654	33.755274262	67.510548523	29.535864979	16.877637131	29.535864979	8.4388185654	67.510548523	0	4.2194092827	12.658227848	135.02109705	37.974683544	1.9831223629	237	24.654008439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.097046414	0	0	21.097046414	0	0	0	0	0	0	8.4388185654	0	8.4388185654	0	4.2194092827	4.2194092827	33.755274262	37.974683544	0	12.658227848	8.4388185654	8.4388185654	0	0	8.4388185654	25.316455696	12.658227848	8.4388185654	4.2194092827	0	4.2194092827	4.2194092827	4.2194092827	8.4388185654	4.2194092827	8.4388185654	12.658227848	4.2194092827	0	0	0	0
t000004	11.278195489	11.278195489	37.593984962	30.07518797	97.744360902	11.278195489	191.72932331	3.7593984962	37.593984962	75.187969925	30.07518797	3.7593984962	18.796992481	41.353383459	45.112781955	26.315789474	3.7593984962	0	71.428571429	0	109.02255639	7.5187969925	3.7593984962	30.07518797	146.61654135	18.796992481	15.037593985	7.5187969925	33.834586466	7.5187969925	15.037593985	11.278195489	0	7.5187969925	67.669172932	45.112781955	0	0	101.5037594	3.7593984962	0	154.13533835	3.7593984962	22.556390977	30.07518797	0	30.07518797	41.353383459	45.112781955	0	37.593984962	22.556390977	56.390977444	7.5187969925	3.7593984962	11.278195489	101.5037594	45.112781955	3.7593984962	56.390977444	67.669172932	7.5187969925	7.5187969925	7.5187969925	3.7593984962	37.593984962	0	0	30.07518797	90.22556391	41.353383459	1.7293233083	266	25.112781955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7593984962	0	0	0	0	0	0	0	0	0	7.5187969925	0	0	0	7.5187969925	0	0	22.556390977	3.7593984962	15.037593985	0	7.5187969925	0	0	0	0	3.7593984962	3.7593984962	7.5187969925	0	0	0	0	0	3.7593984962	0	0	0	3.7593984962	7.5187969925	0	0
t000005	6.711409396	0	16.77852349	36.912751678	124.16107383	0	197.98657718	13.422818792	67.11409396	83.89261745	16.77852349	10.067114094	3.355704698	26.845637584	30.201342282	36.912751678	6.711409396	6.711409396	67.11409396	0	120.80536913	20.134228188	6.711409396	36.912751678	134.22818792	6.711409396	10.067114094	10.067114094	13.422818792	6.711409396	20.134228188	0	0	6.711409396	50.33557047	40.268456376	0	3.355704698	104.02684564	10.067114094	0	171.1409396	10.067114094	6.711409396	40.268456376	0	6.711409396	73.825503356	10.067114094	0	40.268456376	30.201342282	46.979865772	10.067114094	10.067114094	6.711409396	93.959731544	50.33557047	16.77852349	40.268456376	70.469798658	0	3.355704698	40.268456376	3.355704698	77.181208054	3.355704698	6.711409396	23.489932886	80.536912752	46.979865772	1.5268456376	298	21.922818792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.067114094	0	0	20.134228188	0	0	0	0	0	0	0	6.711409396	0	6.711409396	6.711409396	6.711409396	6.711409396	40.268456376	3.355704698	3.355704698	6.711409396	0	13.422818792	0	10.067114094	6.711409396	10.067114094	0	3.355704698	3.355704698	10.067114094	0	6.711409396	0	0	0	10.067114094	0	0	0	3.355704698	0
t000006	14.577259475	2.915451895	11.66180758	26.239067055	72.886297376	0	139.94169096	8.7463556851	23.32361516	49.562682216	8.7463556851	2.915451895	11.66180758	23.32361516	26.239067055	20.408163265	8.7463556851	8.7463556851	46.647230321	17.49271137	72.886297376	5.8309037901	2.915451895	23.32361516	177.8425656	8.7463556851	11.66180758	2.915451895	32.069970845	14.577259475	5.8309037901	5.8309037901	0	8.7463556851	87.463556851	87.463556851	0	2.915451895	122.44897959	8.7463556851	2.915451895	160.34985423	8.7463556851	11.66180758	17.49271137	2.915451895	26.239067055	40.816326531	17.49271137	0	34.985422741	8.7463556851	32.069970845	8.7463556851	2.915451895	5.8309037901	142.85714286	14.577259475	8.7463556851	32.069970845	58.309037901	11.66180758	0	20.408163265	0	34.985422741	2.915451895	2.915451895	11.66180758	93.294460641	29.15451895	1.2303206997	343	18.833819242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8309037901	0	0	8.7463556851	0	0	0	0	2.915451895	2.915451895	2.915451895	0	0	0	0	0	5.8309037901	17.49271137	5.8309037901	20.408163265	0	0	5.8309037901	0	0	5.8309037901	5.8309037901	5.8309037901	2.915451895	0	2.915451895	0	0	0	0	0	0	0	2.915451895	0	0	5.8309037901
