file	v000182	v000184	v000181	v000175	v000185	v000172	v000186	v000174	v000171	v000151	v000176	v000173	v000177	v000178	v000148	v000147	v000170	v000142	v000149	v000154	v000145	v000128	v000123	v000118	v000133	v000132	v000095	v000124	v000106	v000099	v000105	v000117	v000116	v000098	v000094	v000100	v000050	v000101	v000096	v000031	v000084	v000097	v000023	v000070	v000068	v000059	v000080	v000069	v000051	v000072	v000007	v000061	v000046	v000010	v000041	v000052	v000043	v000048	v000033	v000045	v000002	v000009	v000025	v000028	v000040	v000022	v000012	v000013	v000014	v000003	v000006	v000188	v000189	v000190	v000004	v000015	v000016	v000017	v000018	v000019	v000020	v000021	v000024	v000026	v000036	v000039	v000042	v000049	v000054	v000055	v000056	v000057	v000058	v000062	v000063	v000064	v000065	v000066	v000067	v000071	v000073	v000074	v000075	v000076	v000077	v000082	v000083	v000087	v000088	v000089	v000090	v000092	v000093	v000107	v000108	v000109	v000110	v000111	v000112	v000113	v000120	v000121	v000122	v000129	v000130	v000131	v000135	v000136	v000137	v000138	v000141	v000143	v000150	v000152	v000153	v000157	v000158	v000159	v000160	v000161	v000162	v000163	v000164	v000165	v000167	v000169	v000183	v000187	v000155	v000156	v000166	v000127	v000139	v000140	v000119	v000134	v000168	v000125	v000144	v000079	v000091	v000081	v000102	v000047	v000104	v000060	v000011	v000044	v000032	v000085	v000037	v000030	v000035	v000008	v000029	v000005	v000053	v000001	v000179	v000180	v000126	v000115	v000146	v000114	v000027	v000038	v000103	v000086	v000034	v000078
t000001	3	2	5	4	16	3	32	3	7	8	3	1	1	8	6	8	1	1	14	2	16	3	1	6	26	2	3	2	11	4	1	2	2	2	9	6	1	2	17	1	1	29	1	2	8	1	2	6	6	2	7	9	6	3	1	1	28	4	1	7	11	1	2	1	1	10	1	2	3	16	8	0.462	189	6.449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t000002	3	0	11	21	42	3	66	2	16	24	3	2	0	8	7	10	2	1	17	0	37	9	1	11	48	6	3	2	12	2	5	1	2	3	22	27	0	3	44	3	0	66	4	2	10	0	8	22	6	0	16	3	11	3	2	2	26	4	3	11	27	2	5	10	1	23	0	1	9	36	16	0.442	365	6.695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	3	1	1	4	2	1	3	2	2	2	6	2	4	2	2	8	2	7	2	6	2	2	3	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
t000003	3	0	5	13	23	0	45	1	12	9	1	3	2	8	9	11	2	0	20	0	22	3	1	8	40	6	1	2	6	0	2	0	0	2	11	21	3	1	19	2	0	39	3	2	10	0	2	12	0	2	9	9	5	5	3	3	21	4	2	8	16	7	4	7	2	16	0	1	3	32	9	0.47	237	5.843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	2	0	2	0	1	1	8	9	0	3	2	2	0	0	2	6	3	2	1	0	1	1	1	2	1	2	3	1	0	0	0	0
t000004	3	3	10	8	26	3	51	1	10	20	8	1	5	11	12	7	1	0	19	0	29	2	1	8	39	5	4	2	9	2	4	3	0	2	18	12	0	0	27	1	0	41	1	6	8	0	8	11	12	0	10	6	15	2	1	3	27	12	1	15	18	2	2	2	1	10	0	0	8	24	11	0.46	266	6.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	6	1	4	0	2	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	1	2	0	0
t000005	2	0	5	11	37	0	59	4	20	25	5	3	1	8	9	11	2	2	20	0	36	6	2	11	40	2	3	3	4	2	6	0	0	2	15	12	0	1	31	3	0	51	3	2	12	0	2	22	3	0	12	9	14	3	3	2	28	15	5	12	21	0	1	12	1	23	1	2	7	24	14	0.455	298	6.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	2	0	2	2	2	2	12	1	1	2	0	4	0	3	2	3	0	1	1	3	0	2	0	0	0	3	0	0	0	1	0
t000006	5	1	4	9	25	0	48	3	8	17	3	1	4	8	9	7	3	3	16	6	25	2	1	8	61	3	4	1	11	5	2	2	0	3	30	30	0	1	42	3	1	55	3	4	6	1	9	14	6	0	12	3	11	3	1	2	49	5	3	11	20	4	0	7	0	12	1	1	4	32	10	0.422	343	6.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	2	6	2	7	0	0	2	0	0	2	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	2
